regulator	cluster	ntarget
ZBTB39	E11	0
ZBTB39	E10	0
ZBTB39	E5	0
ZBTB39	E14	30
ZBTB39	E7	0
ZBTB39	E9	0
ZBTB39	E30	0
ZBTB39	E2	0
ZBTB39	E4	0
ZBTB39	E3	0
ZBTB39	E18	0
ZBTB39	E6	0
ZBTB39	E19	0
ZBTB39	E29	0
ZBTB39	E23	0
ZBTB39	E20	0
ZBTB40	E28	0
ZBTB40	E15	0
ZBTB40	E13	0
ZBTB40	E1	0
ZBTB40	E26	0
ZBTB40	E25	0
ZBTB40	E12	0
ZBTB40	E22	0
ZBTB40	E24	0
ZBTB40	E17	0
ZBTB40	E8	0
ZBTB40	E16	0
ZBTB40	E27	0
ZBTB40	E21	0
ZBTB40	E11	0
ZBTB40	E10	0
ZBTB40	E5	27
ZBTB40	E14	0
ZBTB40	E7	0
ZBTB40	E9	0
ZBTB40	E30	0
ZBTB40	E2	0
ZBTB40	E4	0
ZBTB40	E3	0
ZBTB40	E18	0
ZBTB40	E6	0
ZBTB40	E19	0
ZBTB40	E29	0
ZBTB40	E23	0
ZBTB40	E20	0
ZNF19	E28	0
ZNF19	E15	0
ZNF19	E13	0
ZNF19	E1	24
ZNF19	E26	0
ZNF19	E25	0
ZNF19	E12	0
ZNF19	E22	0
ZNF19	E24	0
ZNF19	E17	0
ZNF19	E8	0
ZNF19	E16	0
ZNF19	E27	0
ZNF19	E21	0
ZNF19	E11	0
ZNF19	E10	0
ZNF19	E5	0
ZNF19	E14	0
ZNF19	E7	0
ZNF19	E9	0
ZNF19	E30	0
ZNF19	E2	0
ZNF19	E4	0
ZNF19	E3	0
ZNF19	E18	0
ZNF19	E6	0
ZNF19	E19	0
ZNF19	E29	0
ZNF19	E23	0
ZNF19	E20	0
ZNF213	E28	0
ZNF213	E15	0
ZNF213	E13	0
ZNF213	E1	0
ZNF213	E26	0
ZNF213	E25	0
ZNF213	E12	0
ZNF213	E22	0
